tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
12/1/2015,DKI1 (Bunderan HI),62,18,37,40,22,62,PM10,0
12/2/2015,DKI1 (Bunderan HI),65,20,19,51,20,65,PM10,0
12/3/2015,DKI1 (Bunderan HI),69,21,25,43,26,69,PM10,0
12/4/2015,DKI1 (Bunderan HI),63,21,23,36,24,63,PM10,0
12/5/2015,DKI1 (Bunderan HI),66,20,27,39,25,66,PM10,0
12/6/2015,DKI1 (Bunderan HI),71,20,34,46,19,71,PM10,0
12/7/2015,DKI1 (Bunderan HI),0,24,0,27,0,27,O3,1
12/8/2015,DKI1 (Bunderan HI),0,26,0,20,0,26,SO2,1
12/9/2015,DKI1 (Bunderan HI),0,27,0,45,0,45,O3,1
12/10/2015,DKI1 (Bunderan HI),0,28,0,50,0,50,O3,1
12/11/2015,DKI1 (Bunderan HI),0,27,20,40,0,40,O3,1
12/12/2015,DKI1 (Bunderan HI),0,25,18,36,0,36,O3,1
12/13/2015,DKI1 (Bunderan HI),0,25,24,29,0,29,O3,1
12/14/2015,DKI1 (Bunderan HI),0,21,12,16,0,21,SO2,1
12/15/2015,DKI1 (Bunderan HI),0,22,0,15,0,22,SO2,1
12/16/2015,DKI1 (Bunderan HI),0,19,15,27,0,27,O3,1
12/17/2015,DKI1 (Bunderan HI),39,18,15,20,0,39,PM10,1
12/18/2015,DKI1 (Bunderan HI),46,18,13,24,0,46,PM10,1
12/19/2015,DKI1 (Bunderan HI),68,18,16,25,0,68,PM10,0
12/20/2015,DKI1 (Bunderan HI),51,18,20,31,0,51,PM10,0
12/21/2015,DKI1 (Bunderan HI),37,18,11,27,0,37,PM10,1
12/22/2015,DKI1 (Bunderan HI),48,18,9,24,0,48,PM10,1
12/23/2015,DKI1 (Bunderan HI),41,19,10,21,0,41,PM10,1
12/24/2015,DKI1 (Bunderan HI),40,18,9,23,0,40,PM10,1
12/25/2015,DKI1 (Bunderan HI),38,18,10,37,0,38,PM10,1
12/26/2015,DKI1 (Bunderan HI),41,19,9,32,0,41,PM10,1
12/27/2015,DKI1 (Bunderan HI),51,19,12,32,0,51,PM10,0
12/28/2015,DKI1 (Bunderan HI),54,19,21,0,0,54,PM10,0
12/29/2015,DKI1 (Bunderan HI),56,19,21,25,0,56,PM10,0
12/30/2015,DKI1 (Bunderan HI),55,19,15,23,0,55,PM10,0
12/31/2015,DKI1 (Bunderan HI),43,19,14,22,2,43,PM10,1
12/1/2015,DKI2 (Kelapa Gading),68,19,21,100,28,100,O3,0
12/2/2015,DKI2 (Kelapa Gading),42,17,24,111,18,111,O3,0
12/3/2015,DKI2 (Kelapa Gading),44,21,16,64,17,64,O3,0
12/4/2015,DKI2 (Kelapa Gading),61,22,20,64,17,64,O3,0
12/5/2015,DKI2 (Kelapa Gading),74,29,24,60,17,74,PM10,0
12/6/2015,DKI2 (Kelapa Gading),63,19,35,65,20,65,O3,0
12/7/2015,DKI2 (Kelapa Gading),52,26,13,57,13,57,O3,0
12/8/2015,DKI2 (Kelapa Gading),70,25,14,57,21,70,PM10,0
12/9/2015,DKI2 (Kelapa Gading),55,20,31,65,20,65,O3,0
12/10/2015,DKI2 (Kelapa Gading),63,25,22,66,20,66,O3,0
12/11/2015,DKI2 (Kelapa Gading),60,24,18,85,23,85,O3,0
12/12/2015,DKI2 (Kelapa Gading),57,19,18,90,19,90,O3,0
12/13/2015,DKI2 (Kelapa Gading),60,21,25,61,17,61,O3,0
12/14/2015,DKI2 (Kelapa Gading),34,17,14,40,9,40,O3,1
12/15/2015,DKI2 (Kelapa Gading),28,18,11,42,8,42,O3,1
12/16/2015,DKI2 (Kelapa Gading),31,18,14,44,11,44,O3,1
12/17/2015,DKI2 (Kelapa Gading),30,19,15,24,10,30,PM10,1
12/18/2015,DKI2 (Kelapa Gading),31,18,15,44,12,44,O3,1
12/19/2015,DKI2 (Kelapa Gading),23,18,13,47,13,47,O3,1
12/20/2015,DKI2 (Kelapa Gading),34,18,20,41,13,41,O3,1
12/21/2015,DKI2 (Kelapa Gading),34,18,16,36,10,36,O3,1
12/22/2015,DKI2 (Kelapa Gading),17,18,11,28,9,28,O3,1
12/23/2015,DKI2 (Kelapa Gading),33,19,12,29,13,33,PM10,1
12/24/2015,DKI2 (Kelapa Gading),21,18,12,33,7,33,O3,1
12/25/2015,DKI2 (Kelapa Gading),29,19,10,52,12,52,O3,0
12/26/2015,DKI2 (Kelapa Gading),32,19,7,42,8,42,O3,1
12/27/2015,DKI2 (Kelapa Gading),0,21,13,39,15,39,O3,1
12/28/2015,DKI2 (Kelapa Gading),0,21,19,31,18,31,O3,1
12/29/2015,DKI2 (Kelapa Gading),55,22,18,38,17,55,PM10,0
12/30/2015,DKI2 (Kelapa Gading),33,22,11,50,13,50,O3,1
12/31/2015,DKI2 (Kelapa Gading),24,18,11,51,9,51,O3,0
12/1/2015,DKI3 (Jagakarsa),0,16,37,106,9,106,O3,0
12/2/2015,DKI3 (Jagakarsa),0,19,25,98,6,98,O3,0
12/3/2015,DKI3 (Jagakarsa),57,16,32,82,8,82,O3,0
12/4/2015,DKI3 (Jagakarsa),0,16,30,84,7,84,O3,0
12/5/2015,DKI3 (Jagakarsa),0,16,36,103,9,103,O3,0
12/6/2015,DKI3 (Jagakarsa),0,19,40,59,8,59,O3,0
12/7/2015,DKI3 (Jagakarsa),0,16,31,63,8,63,O3,0
12/8/2015,DKI3 (Jagakarsa),0,16,25,51,7,51,O3,0
12/9/2015,DKI3 (Jagakarsa),0,19,28,58,13,58,O3,0
12/10/2015,DKI3 (Jagakarsa),0,17,22,85,5,85,O3,0
12/11/2015,DKI3 (Jagakarsa),0,16,31,79,12,79,O3,0
12/12/2015,DKI3 (Jagakarsa),0,16,27,52,8,52,O3,0
12/13/2015,DKI3 (Jagakarsa),0,16,49,41,9,49,CO,1
12/14/2015,DKI3 (Jagakarsa),0,16,24,21,0,24,CO,1
12/15/2015,DKI3 (Jagakarsa),0,16,19,22,4,22,O3,1
12/16/2015,DKI3 (Jagakarsa),0,16,19,22,3,22,O3,1
12/17/2015,DKI3 (Jagakarsa),0,15,18,20,0,20,O3,1
12/18/2015,DKI3 (Jagakarsa),0,17,19,40,3,40,O3,1
12/19/2015,DKI3 (Jagakarsa),0,17,19,49,5,49,O3,1
12/20/2015,DKI3 (Jagakarsa),0,16,35,39,6,39,O3,1
12/21/2015,DKI3 (Jagakarsa),0,16,21,30,4,30,O3,1
12/22/2015,DKI3 (Jagakarsa),0,16,19,24,3,24,O3,1
12/23/2015,DKI3 (Jagakarsa),0,16,19,18,4,19,CO,1
12/24/2015,DKI3 (Jagakarsa),0,16,30,25,6,30,CO,1
12/25/2015,DKI3 (Jagakarsa),0,16,25,45,3,45,O3,1
12/26/2015,DKI3 (Jagakarsa),0,17,30,46,9,46,O3,1
12/27/2015,DKI3 (Jagakarsa),0,17,28,46,4,46,O3,1
12/28/2015,DKI3 (Jagakarsa),0,18,30,0,8,30,CO,1
